Last updated:   08/20/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,ISO3,Population,"Secured Vaccine, Before Adjustment (millions of courses)",Adjustment (millions of courses),Secured Vaccine (millions of courses),Vaccine Needed to Reach 60% of Population (millions of courses),Bilateral Deals (millions of courses),Donations (millions of courses),COVAX donations (millions of courses),COVAX AMC/SFP (millions of courses),EU Deal (millions of courses),Other sources (millions of courses),Domestic Supply (millions of courses),"Secured Vaccine, Before Adjustment (% of population)",Adjustment (% of population),Secured Vaccine (% of population),Vaccine Needed to Reach 60% of Population (% of population),Bilateral Deals (% of population),Donations (% of population),COVAX donations (% of population),COVAX AMC/SFP (% of population),EU Deal (% of population),Other sources (% of population),Domestic Supply (% of population)
Kosovo,KOS,1807197,1,0,1,0,1,0,0,1,0,0,,78,0,78,0,33,0,15,30,0,0,
Rwanda,RWA,12952209,10,0,10,0,0,0,0,4,0,6,,78,0,78,0,0,0,2,30,0,46,
Singapore,SGP,5850343,0,4,5,0,0,0,0,0,0,0,,2,75,77,0,2,0,0,0,0,0,
Costa Rica,CRI,5094114,5,-2,4,0,5,0,0,0,0,0,,106,-29,77,0,98,5,1,3,0,0,
Botswana,BWA,2351625,2,0,2,0,0,0,0,0,0,1,,77,0,77,0,17,5,2,4,0,49,
Comoros,COM,869595,1,0,1,0,0,0,0,0,0,0,,65,11,76,0,0,0,35,30,0,0,
Tunisia,TUN,11818618,13,-5,9,0,5,0,1,4,0,5,,114,-38,76,0,40,1,5,30,0,39,
Uruguay,URY,3473727,2,0,3,0,2,0,0,0,0,0,,67,9,76,0,54,7,0,6,0,0,
Nepal,NPL,29136808,34,-13,21,0,14,2,2,9,0,7,,116,-43,73,0,46,8,8,30,0,24,
Cambodia,KHM,16718971,12,0,12,0,4,1,2,5,0,0,,73,0,73,0,26,8,9,30,0,0,
Senegal,SEN,16743930,12,0,12,0,0,0,0,5,0,6,,72,0,72,0,1,1,3,30,0,38,
Lao PDR,LAO,7275556,5,0,5,0,0,1,1,2,0,1,,73,-1,71,0,0,11,18,30,0,14,
India,IND,1380004385,979,4,982,0,828,1,0,150,0,0,,71,0,71,0,60,0,0,11,0,0,
Kazakhstan,KAZ,18776707,13,0,13,0,3,0,0,0,0,0,10,70,0,70,0,16,0,0,0,0,0,54
